cell_index,cell_id,cell_type,markdown_heading,execution_count,defined_variables,referenced_input_files,written_output_files,displayed_output_type,model_or_analysis_name,inferred_status,notes
10,ZqBUY2qdWmDM,markdown,Primary hierarchical Bayesian model,,,,,none,,infrastructure,narrative/section heading
11,LKaXSXpXWmDN,code,,7,asjp_enc; encode; model,,,none,,infrastructure,supporting code / definitions / figure IO / export
12,qEfygJZqWmDN,code,,8,prior; prior_rate,,"FIGURES/""prior_predictive_primary.pdf""; prior_predictive_primary.pdf",image,prior_predictive_primary,exploratory,prior predictive check
13,ORgotPTMWmDN,code,,9,FINAL_RUN; mcmc_asjp; idata_asjp; fit_dataset,,"MODELS/""asjp_primary_posterior.nc""; RESULTS/""asjp_primary_summary.csv""; asjp_primary_posterior.nc; asjp_primary_summary.csv",stream,asjp_primary_summary,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
14,V76vxkxfWmDN,code,,10,s; diag; beta; effect,,"RESULTS/""model_diagnostics.csv""; RESULTS/""asjp_primary_effect.csv""; model_diagnostics.csv; asjp_primary_effect.csv",display_data,model_diagnostics,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
15,nH6OqDHEWmDN,code,,11,post; yrep; draw; lat; z; curve,,"FIGURES/""posterior_predictive_primary.pdf""; RESULTS/""asjp_posterior_curve.csv""; FIGURES/""asjp_continuous_posterior_curve.pdf""; posterior_predictive_primary.pdf; asjp_posterior_curve.csv; asjp_continuous_posterior_curve.pdf",image,posterior_predictive_primary,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
16,cF6Qw5nuWmDN,markdown,Replication and robustness switches,,,,,none,,infrastructure,narrative/section heading
17,JYUDM4kbWmDN,code,,12,RUN_LEXIBANK,,"MODELS/""lexibank_replication_posterior.nc""; RESULTS/""lexibank_replication_summary.csv""; lexibank_replication_posterior.nc; lexibank_replication_summary.csv",none,lexibank_replication_summary,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
18,8P5KrYQyWmDN,code,,13,sens; sensitivity,,"RESULTS/""descriptive_sensitivity.csv""; descriptive_sensitivity.csv",execute_result,descriptive_sensitivity,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
19,wVeSv4VuWmDN,markdown,Extended robustness sequence,,,,,none,,infrastructure,narrative/section heading
20,zRc7niOMWmDO,markdown,Revision notes for the production run,,,,,none,,infrastructure,narrative/section heading
21,asKv8YzoWmDO,markdown,1. Main-parameter R-hat / ESS check,,,,,none,,infrastructure,narrative/section heading
22,XhMo2knUWmDO,code,,14,MAIN_VARS; main_summary; main_diagnostics,,"RESULTS / ""asjp_primary_main_parameter_diagnostics.csv""; asjp_primary_main_parameter_diagnostics.csv",display_data; execute_result,asjp_primary_main_parameter_diagnostics,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
23,nVDv-oJiWmDO,markdown,**Gate**,,,,,none,,infrastructure,narrative/section heading
24,-KnwBtOiWmDO,markdown,Shared fitting and summary helpers,,,,,none,,infrastructure,narrative/section heading
25,cN81I95dWmDO,code,,15,ROBUSTNESS_FINAL_RUN; fit_numpyro_model; compact_summary; posterior_effect_row,,"RESULTS / f""{output_stem}_summary.csv""; RESULTS / f""{output_stem}_diagnostics.csv""",none,fit_numpyro_model,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
26,UkujYjngWmDO,markdown,2. Hemisphere interaction model,,,,,none,,infrastructure,narrative/section heading
27,Q84O7dzkWmDO,code,,16,RUN_HEMISPHERE; hemi_enc; encode_hemisphere; hemisphere_model,,"MODELS / ""asjp_hemisphere_interaction.nc""; RESULTS / ""asjp_hemisphere_effects.csv""; asjp_hemisphere_interaction.nc; asjp_hemisphere_effects.csv",stream; display_data,hemisphere_model,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
28,DRvL0-wxWmDO,markdown,Interpretation:,,,,,none,,infrastructure,narrative/section heading
29,w5KNyoTZWmDO,markdown,3. Within-family / between-family latitude decomposition,,,,,none,,infrastructure,narrative/section heading
30,WiMrQVJxWmDO,code,,17,RUN_WITHIN_BETWEEN; wb_enc; encode_within_between; within_between_model,,"MODELS / ""asjp_within_between_family.nc""; RESULTS / ""asjp_within_between_effects.csv""; asjp_within_between_family.nc; asjp_within_between_effects.csv",stream; display_data,within_between_model,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
31,xWprHfZIWmDO,markdown,Interpretation:,,,,,none,,infrastructure,narrative/section heading
32,fiAkMdxFWmDO,markdown,4. Macroarea control,,,,,none,,infrastructure,narrative/section heading
33,q0S4cf8AWmDO,code,,18,ASJP_LANG_PATH; MACROAREA_OVERRIDE; RUN_MACROAREA; macro_map; discover_macroarea_map; encode_macroarea; macroarea_model,ASJP_LANG_PATH; MACROAREA_OVERRIDE; cldf; languages.csv,"MODELS / ""asjp_macroarea_control.nc""; RESULTS / ""asjp_macroarea_effect.csv""; languages.csv; language_macroarea.csv; asjp_macroarea_control.nc; asjp_macroarea_effect.csv",stream; display_data,macroarea_model,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
34,i_w5FsuLWmDP,markdown,"If the ASJP table does not contain a macroarea field, place a documented mapping at:",,,,,none,,infrastructure,narrative/section heading
35,KSUaRZ3sWmDP,markdown,5. Initial-vs-final interaction,,,,,none,,infrastructure,narrative/section heading
36,WB0yMdNCWmDP,code,,19,RUN_POSITION_INTERACTION; position_enc; encode_position_interaction; position_interaction_model,,"MODELS / ""asjp_initial_final_interaction.nc""; RESULTS / ""asjp_initial_final_effects.csv""; asjp_initial_final_interaction.nc; asjp_initial_final_effects.csv",stream; display_data,position_interaction_model,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
37,XYra07UNWmDP,markdown,A negative `beta_lat_final_delta` means the latitude gradient is more negative at the word-final boundary than at the wo,,,,,none,,infrastructure,narrative/section heading
38,ntDOQdwDWmDP,markdown,6. Lexibank replication,,,,,none,,infrastructure,narrative/section heading
39,I5Iv3zp8WmDP,code,,20,RUN_LEXIBANK_REPLICATION,,"MODELS / ""lexibank_replication_posterior.nc""; RESULTS / ""lexibank_replication_effect.csv""; lexibank_replication_posterior.nc; lexibank_replication_effect.csv",stream; display_data,lexibank_replication_effect,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
40,zz0S5l-DWmDQ,markdown,Combined decision table,,,,,none,,infrastructure,narrative/section heading
41,H_3CtW1cWmDQ,code,,21,decision_rows; decision_table; add_effect_from_idata,,"RESULTS / ""paper1_robustness_decision_table.csv""; paper1_robustness_decision_table.csv",execute_result,paper1_robustness_decision_table,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
42,d0y2T80MWmDQ,markdown,Interpretation map,,,,,none,,infrastructure,narrative/section heading
43,9WhUVG-6WmDQ,markdown,Final-stage validation,,,,,none,,infrastructure,narrative/section heading
44,XbOAZTnNWmDQ,markdown,1. Final ASJP primary diagnostics,,,,,none,,infrastructure,narrative/section heading
45,nrGnnRmSWmDQ,code,,22,primary_main; primary_final_diag,,"RESULTS/""asjp_primary_final_summary.csv""; RESULTS/""asjp_primary_final_diagnostics.csv""; asjp_primary_final_summary.csv; asjp_primary_final_diagnostics.csv",display_data,asjp_primary_final_summary,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
46,v9Aic4RwWmDQ,markdown,2. Independent Northern and Southern Hemisphere fits,,,,,none,,infrastructure,narrative/section heading
47,FHONJFxZWmDQ,code,,23,asjp_north; asjp_south; run_subset_primary,,"MODELS/f""asjp_{name.lower; RESULTS/f""asjp_{name.lower",stream; display_data,numpyro fit,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
48,jZXofX1JWmDQ,markdown,Separate fits use hemisphere-specific latitude standardization. Compare direction and interval exclusion first; do not m,,,,,none,,infrastructure,narrative/section heading
49,QI9c5_nBWmDQ,markdown,3. Southern Hemisphere macroarea-specific slopes,,,,,none,,infrastructure,narrative/section heading
50,dWy1z6d_WmDQ,code,,24,macro_map_final; south_with_macro; descriptive_macroarea_slope_table,,"RESULTS/""south_macroarea_descriptive_slopes.csv""; south_macroarea_descriptive_slopes.csv",stream; display_data,south_macroarea_descriptive_slopes,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
51,f19bWfR4WmDR,code,,25,encode_macroarea_varying_slope; macroarea_varying_slope_model,,"MODELS/""asjp_south_macroarea_slopes.nc""; RESULTS/""asjp_south_macroarea_slope_effects.csv""; RESULTS/""asjp_south_macroarea_slope_diagnostics.csv""; asjp_south_macroarea_slopes.nc; asjp_south_macroarea_slope_effects.csv; asjp_south_macroarea_slope_diagnostics.csv",stream; display_data,macroarea_varying_slope_model,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
52,yh94a5nRWmDR,markdown,4. Family-structure audit,,,,,none,,infrastructure,narrative/section heading
53,oUNJZc8LWmDR,code,,26,family_audit,,"RESULTS/f""{dataset_name.lower",display_data,,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
54,jr-UZzXYWmDR,markdown,5. Rebuild Lexibank with unique isolate/unknown family IDs,,,,,none,,infrastructure,narrative/section heading
55,tmwmdWS1WmDR,code,,27,lex_forms_final; build_lexibank_final,lang_path; forms_path; cldf/languages.csv; cldf/forms.csv; cldf/forms.csv.zip; Lexibank forms.csv or forms.csv.zip not found,"DERIVED/""paper1_lexibank_language_summary_final.parquet""; cldf/languages.csv; cldf/forms.csv; paper1_lexibank_language_summary_final.parquet",display_data; execute_result,languages,infrastructure,preprocessing definitions / figure IO / export
56,Z2Mz5G7eWmDR,markdown,6. Final Lexibank replication,,,,,none,,infrastructure,narrative/section heading
57,ayR2N8_jWmDR,code,,28,lex_enc_final; lex_final_data; mcmc_lex_final; idata_lex_final; lex_final_effect,,"MODELS/""lexibank_final_replication.nc""; RESULTS/""lexibank_final_replication_effect.csv""; lexibank_final_replication.nc; lexibank_final_replication_effect.csv",stream; display_data,lexibank_final_replication_effect,superseded,Binomial-likelihood inferential fit (superseded by Beta-Binomial)
58,AZkK9tfqWmDR,markdown,7. Posterior predictive summaries,,,,,none,,infrastructure,narrative/section heading
59,cZ_mejoQWmDR,code,,29,asjp_primary_data; lex_primary_data; asjp_ppc_summary; lex_ppc_summary; ppc_summary,,"RESULTS/f""{output_stem}_ppc_summary.csv""",display_data,_ppc_summary,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
60,4ouDHccUWmDR,markdown,A coefficient may be well estimated even when a simple Binomial model under-reproduces language-level extremes. Any mate,,,,,none,,infrastructure,narrative/section heading
61,6a0LwwYTWmDR,markdown,8. Consolidated final tables,,,,,none,,infrastructure,narrative/section heading
62,FVMi-1uTWmDR,code,,30,final_rows; final_statistical_table; final_diagnostics; append_final_effect,,"RESULTS/""paper1_final_statistical_table.csv""; RESULTS/""paper1_final_diagnostics.csv""; paper1_final_statistical_table.csv; paper1_final_diagnostics.csv",display_data,paper1_final_statistical_table,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
63,vhd1LtmxWmDR,markdown,Final reporting boundary,,,,,none,,infrastructure,narrative/section heading
64,MjTzhZ9SWmDR,markdown,Claim boundary,,,,,none,,infrastructure,narrative/section heading
65,P9wq1vcAWmDR,markdown,Final delta only: Beta-Binomial + ASJP unknown-family correction,,,,,none,,infrastructure,narrative/section heading
66,Q8x3s0u7WmDR,markdown,1. Correct ASJP unknown-family coding,,,,,none,,infrastructure,narrative/section heading
67,-oPMgw8MWmDR,code,,31,split_unknown_families,,"DERIVED / ""paper1_asjp_language_summary_unknown_split.parquet""; RESULTS / ""asjp_unknown_family_split_audit.csv""; paper1_asjp_language_summary_unknown_split.parquet; asjp_unknown_family_split_audit.csv",display_data,asjp_unknown_family_split_audit,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
68,aYLSBL7eWmDS,markdown,The split avoids assigning unresolved languages to one artificial shared family. It does not claim that every unresolved,,,,,none,,infrastructure,narrative/section heading
69,HKGxUHkFWmDS,markdown,2. Shared Beta-Binomial helpers,,,,,none,,infrastructure,narrative/section heading
70,hMX2konTWmDS,code,,32,beta_binomial_observation; primary_beta_binomial_model,,,none,primary_beta_binomial_model,infrastructure,supporting code / definitions / figure IO / export
71,rwYtbB8GWmDS,markdown,3. ASJP Beta-Binomial primary,,,,,none,,infrastructure,narrative/section heading
72,BTm-_LkkWmDS,code,,33,asjp_bb_enc; asjp_bb_data; mcmc_asjp_bb; idata_asjp_bb; asjp_bb_effect,,"MODELS / ""asjp_beta_binomial_primary.nc""; RESULTS / ""asjp_beta_binomial_primary_effect.csv""; asjp_beta_binomial_primary.nc; asjp_beta_binomial_primary_effect.csv",stream; display_data,asjp_beta_binomial_primary_effect,primary,Beta-Binomial primary reported model
73,e1Sr0rjYWmDS,markdown,4. ASJP Beta-Binomial within/between-family decomposition,,,,,none,,infrastructure,narrative/section heading
74,HxummI4TWmDS,code,,34,asjp_wb_bb_enc; asjp_wb_bb_data; mcmc_wb_bb; idata_wb_bb; wb_bb_effects; within_between_beta_binomial_model,,"MODELS / ""asjp_beta_binomial_within_between.nc""; RESULTS / ""asjp_beta_binomial_within_between_effects.csv""; asjp_beta_binomial_within_between.nc; asjp_beta_binomial_within_between_effects.csv",stream; display_data,within_between_beta_binomial_model,robustness,Beta-Binomial conditional / secondary reported analysis
75,f69LtETfWmDS,markdown,5. ASJP Beta-Binomial initial-vs-final interaction,,,,,none,,infrastructure,narrative/section heading
76,QTZr6nHNWmDS,code,,35,asjp_position_bb_enc; asjp_position_bb_data; mcmc_position_bb; idata_position_bb; position_bb_effects; position_beta_binomial_model,,"MODELS / ""asjp_beta_binomial_position_interaction.nc""; RESULTS / ""asjp_beta_binomial_position_effects.csv""; asjp_beta_binomial_position_interaction.nc; asjp_beta_binomial_position_effects.csv",stream; display_data,position_beta_binomial_model,robustness,Beta-Binomial conditional / secondary reported analysis
77,C5O40GTwWmDS,markdown,6. ASJP Beta-Binomial hemisphere interaction,,,,,none,,infrastructure,narrative/section heading
78,8K9WmI-oWmDS,code,,36,asjp_hemi_bb_enc; asjp_hemi_bb_data; mcmc_hemi_bb; idata_hemi_bb; hemi_bb_effects; hemisphere_beta_binomial_model,,"MODELS / ""asjp_beta_binomial_hemisphere.nc""; RESULTS / ""asjp_beta_binomial_hemisphere_effects.csv""; asjp_beta_binomial_hemisphere.nc; asjp_beta_binomial_hemisphere_effects.csv",stream; display_data,hemisphere_beta_binomial_model,robustness,Beta-Binomial conditional / secondary reported analysis
79,CALLpttIWmDS,markdown,7. Lexibank Beta-Binomial replication,,,,,none,,infrastructure,narrative/section heading
80,hkTbZh54WmDS,code,,37,lex_bb_enc; lex_bb_data; mcmc_lex_bb; idata_lex_bb; lex_bb_effect,,"MODELS / ""lexibank_beta_binomial_replication.nc""; RESULTS / ""lexibank_beta_binomial_replication_effect.csv""; lexibank_beta_binomial_replication.nc; lexibank_beta_binomial_replication_effect.csv",stream; display_data,lexibank_beta_binomial_replication_effect,replication,Beta-Binomial Lexibank replication
81,IvMIzZepWmDS,markdown,8. Beta-Binomial posterior predictive checks,,,,,none,,infrastructure,narrative/section heading
82,NbfLP81XWmDS,code,,38,asjp_bb_ppc; lex_bb_ppc; beta_binomial_ppc_summary,,"RESULTS / f""{output_stem}_ppc_summary.csv""",display_data,_ppc_summary,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
83,RzUTrBmbWmDS,markdown,9. Final delta decision table,,,,,none,,infrastructure,narrative/section heading
84,7Q8JFSnzWmDS,code,,39,delta_effects; delta_diagnostics,,"RESULTS / ""paper1_beta_binomial_final_effects.csv""; RESULTS / ""paper1_beta_binomial_final_diagnostics.csv""; paper1_beta_binomial_final_effects.csv; paper1_beta_binomial_final_diagnostics.csv",display_data,paper1_beta_binomial_final_effects,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
85,MekOKtmR_q4L,code,,40,macro_map_bb; asjp_macro_bb_source; macro_bb_enc; macro_bb_data; mcmc_macro_bb; idata_macro_bb; macro_bb_effect; macroarea_beta_binomial_model,,"MODELS / ""asjp_beta_binomial_macroarea_control.nc""; RESULTS / ""asjp_beta_binomial_macroarea_effect.csv""; asjp_beta_binomial_macroarea_control.nc; asjp_beta_binomial_macroarea_effect.csv",stream; display_data,macroarea_beta_binomial_model,robustness,Beta-Binomial conditional / secondary reported analysis
86,hpttj7P1_sMB,code,,41,macro_map_bb; asjp_south_macro_bb; south_macro_bb_enc; south_macro_bb_data; mcmc_south_macro_bb; idata_south_macro_bb; macro_slope_draws; south_frame; south_macro_rows; south_macro_bb_effects; south_macroarea_beta_binomial_model,,MODELS; RESULTS; asjp_beta_binomial_south_macroarea_slopes.nc; asjp_beta_binomial_south_macroarea_effects.csv,stream; display_data,south_macroarea_beta_binomial_model,robustness,Beta-Binomial conditional / secondary reported analysis
87,9c8GoU_kWmDS,markdown,Decision rule,,,,,none,,infrastructure,narrative/section heading
88,py9-w3PAWmDT,markdown,Boundary-mass and family-concentration diagnostics,,,,,none,,infrastructure,narrative/section heading
89,u29mf7i1WmDT,code,,42,boundary_coverage; boundary_mass_by_coverage,,"RESULTS / ""boundary_mass_by_coverage.csv""; boundary_mass_by_coverage.csv",display_data,boundary_mass_by_coverage,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
90,yAoKL8xyWmDT,markdown,Family concentration of the exact upper-boundary mass,,,,,none,,infrastructure,narrative/section heading
91,jq9Ve8-hWmDT,code,,43,family_boundary_table,,"RESULTS / ""asjp_family_boundary_concentration.csv""; RESULTS / ""lexibank_family_boundary_concentration.csv""; asjp_family_boundary_concentration.csv; lexibank_family_boundary_concentration.csv",display_data,asjp_family_boundary_concentration,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
92,vj3HY_dMWmDT,markdown,Conditional family-level PPC residuals,,,,,none,,infrastructure,narrative/section heading
93,uZy1FlWFWmDT,code,,44,asjp_family_ppc; lex_family_ppc; subset_posterior_samples; family_boundary_ppc,,"RESULTS / f""{output_stem}_family_boundary_ppc.csv""",display_data,_family_boundary_ppc,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
94,enFJPiOkWmDT,markdown,Influence diagnostics: exclude the largest boundary-contributing families,,,,,none,,infrastructure,narrative/section heading
95,E0DhqNAWWmDT,code,,45,asjp_top_boundary_families; exclusion_results; exclusion_fits; exclusion_effects; fit_exclusion_sensitivity,,"RESULTS / ""asjp_boundary_family_exclusion_sensitivity.csv""; asjp_boundary_family_exclusion_sensitivity.csv",stream; display_data,asjp_boundary_family_exclusion_sensitivity,robustness,leave-family-out / leave-top-two influence re-fit (Beta-Binomial)
96,EIcHYHJuWmDT,markdown,Optional exact-one influence check for the position contrast,,,,,none,,infrastructure,narrative/section heading
97,61eeQdhQWmDT,code,,46,,,"RESULTS / ""asjp_position_excluding_top_two_boundary_families.csv""; asjp_position_excluding_top_two_boundary_families.csv",stream; display_data,asjp_position_excluding_top_two_boundary_families,robustness,leave-family-out / leave-top-two influence re-fit (Beta-Binomial)
98,tVe68Qf4WmDT,markdown,Interpretation guardrails,,,,,none,,infrastructure,narrative/section heading
99,XE4w7YrNRy-1,code,,47,MIN_CONCEPTS; ASJP_LANG_PATH; MACROAREA_OVERRIDE; MACROAREA_CANDIDATES; asjp_source_languages; macroarea_source_col; duplicate_macro_ids; macroarea_map_complete; audit; raw_frame; primary_frame; macro_frame; sample_flow; primary_n; macro_n; primary_families; macro_families; primary_unknown; macro_unknown; sample_difference; exclusion_counts; dropped_languages; macroarea_distribution; source_metadata; n_families,ASJP_LANG_PATH; MACROAREA_OVERRIDE; cldf; languages.csv; ASJP languages.csv column; ASJP cldf/languages.csv; asjp_macroarea_dropped_languages.csv; <-> ASJP languages.csv ID; by Language_ID (ASJP languages.csv ID).,"RESULTS / ""asjp_macroarea_source_metadata.csv""; RESULTS / ""asjp_macroarea_sample_flow.csv""; RESULTS / ""asjp_macroarea_sample_difference.csv""; RESULTS / ""asjp_macroarea_exclusion_counts.csv""; RESULTS / ""asjp_macroarea_dropped_languages.csv""; RESULTS / ""asjp_macroarea_distribution.csv""; RESULTS / ""asjp_macroarea_duplicate_source_ids.csv""; RESULTS / ""asjp_macroarea_language_audit_full.csv""; languages.csv; language_macroarea.csv; asjp_macroarea_source_metadata.csv; asjp_macroarea_sample_flow.csv; asjp_macroarea_sample_difference.csv; asjp_macroarea_exclusion_counts.csv; asjp_macroarea_dropped_languages.csv; asjp_macroarea_distribution.csv; asjp_macroarea_duplicate_source_ids.csv; asjp_macroarea_language_audit_full.csv",stream; display_data,asjp_macroarea_source_metadata,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
100,6qaGnpN05Fkx,code,,48,matched_nomacro_data; mcmc_matched_nomacro; idata_matched_nomacro; matched_nomacro_effect; matched_macro_effect; matched_sample_comparison; beta_no_macro; beta_with_macro; matched_sample_beta_binomial_model,,MODELS; RESULTS; asjp_beta_binomial_macroarea_matched_no_macroarea.nc; asjp_beta_binomial_macroarea_matched_comparison.csv,stream; display_data,matched_sample_beta_binomial_model,robustness,Beta-Binomial conditional / secondary reported analysis
101,__MHANPO_rqt,code,,49,FIG_DPI; save_paper_figure,,"fig; FIGURES / f""{stem}.pdf""; FIGURES / f""{stem}.png""",none,,infrastructure,preprocessing definitions / figure IO / export
102,8v_5a40-_ufI,code,,50,fig1_data; position_styles; MIN_BIN_N_FOR_LINE; binned_position_summary,,RESULTS; fig; figure1_position_specific_gradients.csv,stream; image; display_data,figure1_position_specific_gradients,infrastructure,preprocessing definitions / figure IO / export
103,LGkpSkwc_4xy,code,,51,core_effect_rows; fig2_data; fig2_plot; y; main_color; null_color; left_limit; right_limit,,RESULTS; fig; figure2_core_posterior_effects.csv,stream; image; display_data,figure2_core_posterior_effects,infrastructure,preprocessing definitions / figure IO / export
104,brcdetZvAF4V,code,,52,full_primary_row; matched_no_macro_row; matched_with_macro_row; attenuation_data; south_plot_data; pooled_south; ax; plot_a; y_a; xerr_a; y_b; xerr_b; labels_b,,RESULTS; fig; figure3_macroarea_attenuation.csv; figure3_southern_macroarea_slopes.csv,stream; image; display_data,figure3_macroarea_attenuation,infrastructure,preprocessing definitions / figure IO / export
105,ln1tC4NMAO4s,code,,53,fig4_data; subset_samples_for_figure; boundary_histogram_ppc,,RESULTS; fig; figure4_boundary_mass_ppc.csv,stream; image; display_data,figure4_boundary_mass_ppc,infrastructure,preprocessing definitions / figure IO / export
106,afG8__yuAV9J,code,,54,asjp_family_ppc_for_figure; figS1_asjp; figS1_lex; figS1_data; ppc_color; observed_color; legend_handles; select_family_ppc_rows,,RESULTS; fig; audit_asjp_bookkeeping_family.csv; figureS1_family_boundary_ppc.csv,stream; display_data; image,audit_asjp_bookkeeping_family,infrastructure,preprocessing definitions / figure IO / export
107,_rMsW-oG9zbZ,code,,56,,,,display_data,,infrastructure,preprocessing definitions / figure IO / export
